Model,fit_time_cv1,fit_time_cv2,fit_time_cv3,fit_time_cv4,fit_time_cv5,fit_time_mean,fit_time_std,score_time_cv1,score_time_cv2,score_time_cv3,score_time_cv4,score_time_cv5,score_time_mean,score_time_std,test_acc_cv1,test_acc_cv2,test_acc_cv3,test_acc_cv4,test_acc_cv5,test_acc_mean,test_acc_std,test_balanced_accuracy_cv1,test_balanced_accuracy_cv2,test_balanced_accuracy_cv3,test_balanced_accuracy_cv4,test_balanced_accuracy_cv5,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_prec_cv1,test_prec_cv2,test_prec_cv3,test_prec_cv4,test_prec_cv5,test_prec_mean,test_prec_std,test_recall_cv1,test_recall_cv2,test_recall_cv3,test_recall_cv4,test_recall_cv5,test_recall_mean,test_recall_std,test_f1-score_cv1,test_f1-score_cv2,test_f1-score_cv3,test_f1-score_cv4,test_f1-score_cv5,test_f1-score_mean,test_f1-score_std,test_tp_cv1,test_tp_cv2,test_tp_cv3,test_tp_cv4,test_tp_cv5,test_tp_mean,test_tp_std,test_tn_cv1,test_tn_cv2,test_tn_cv3,test_tn_cv4,test_tn_cv5,test_tn_mean,test_tn_std,test_fp_cv1,test_fp_cv2,test_fp_cv3,test_fp_cv4,test_fp_cv5,test_fp_mean,test_fp_std,test_fn_cv1,test_fn_cv2,test_fn_cv3,test_fn_cv4,test_fn_cv5,test_fn_mean,test_fn_std,test_cohens_kappa_cv1,test_cohens_kappa_cv2,test_cohens_kappa_cv3,test_cohens_kappa_cv4,test_cohens_kappa_cv5,test_cohens_kappa_mean,test_cohens_kappa_std,test_matthews_corrcoef_cv1,test_matthews_corrcoef_cv2,test_matthews_corrcoef_cv3,test_matthews_corrcoef_cv4,test_matthews_corrcoef_cv5,test_matthews_corrcoef_mean,test_matthews_corrcoef_std,test_roc_auc_cv1,test_roc_auc_cv2,test_roc_auc_cv3,test_roc_auc_cv4,test_roc_auc_cv5,test_roc_auc_mean,test_roc_auc_std
SVM_N-Gram_TF-IDF,0.05511927604675293,0.054982900619506836,0.0550379753112793,0.05487418174743652,0.05328702926635742,0.0546602725982666,0.0006912288648429702,0.018490076065063477,0.018286943435668945,0.018006086349487305,0.017663955688476562,0.018856048583984375,0.018260622024536134,0.00040710536413907203,0.8219895287958116,0.8167539267015707,0.8315789473684211,0.8105263157894737,0.8263157894736842,0.8214329016257922,0.007320397430460883,0.6728991596638656,0.6568627450980392,0.6799999999999999,0.6464285714285715,0.6764705882352942,0.6665322128851541,0.012793323358337381,0.9473684210526315,1.0,1.0,0.9375,1.0,0.9769736842105263,0.02837349822743136,0.35294117647058826,0.3137254901960784,0.36,0.3,0.35294117647058826,0.33592156862745104,0.024257493481475885,0.5142857142857143,0.47761194029850745,0.5294117647058824,0.45454545454545453,0.5217391304347826,0.49951880085406825,0.028663239469447443,18,16,18,15,18,17.0,1.2649110640673518,139,140,140,139,139,139.4,0.4898979485566356,1,0,0,1,0,0.4,0.48989794855663565,33,35,32,35,33,33.6,1.2,0.43194541637508743,0.4012539184952978,0.4532374100719424,0.3747714808043876,0.44385311335816924,0.42101226782097684,0.029011378827088617,0.5111295152909096,0.5009794328681196,0.5413162253377904,0.46437649106254286,0.5340652752185395,0.5103733879555803,0.02728844939480383,0.6728991596638656,0.6568627450980392,0.6799999999999999,0.6464285714285715,0.6764705882352942,0.6665322128851541,0.012793323358337381
kNN_WordLevel_TF-IDF,0.0009920597076416016,0.0011870861053466797,0.0009257793426513672,0.0008928775787353516,0.0009028911590576172,0.0009801387786865234,0.00010909258874941804,0.12137913703918457,0.12093782424926758,0.11988425254821777,0.11860394477844238,0.1195070743560791,0.12006244659423829,0.0009967325372809374,0.8848167539267016,0.9057591623036649,0.8789473684210526,0.868421052631579,0.8631578947368421,0.8802204464039681,0.014868282637808487,0.7843137254901961,0.8297619047619047,0.7828571428571429,0.7564285714285715,0.7450980392156863,0.7796918767507004,0.02924483910110534,1.0,0.9714285714285714,0.9354838709677419,0.9629629629629629,1.0,0.9739750810718553,0.02434714571492743,0.5686274509803921,0.6666666666666666,0.58,0.52,0.49019607843137253,0.5650980392156864,0.060323872779079024,0.725,0.7906976744186046,0.7160493827160493,0.6753246753246753,0.6578947368421052,0.7129932938602869,0.046143790995623324,29,34,29,26,25,28.6,3.1368774282716245,140,139,138,139,139,139.0,0.6324555320336759,0,1,2,1,0,0.8,0.7483314773547883,22,17,21,24,26,22.0,3.03315017762062,0.6589839311800032,0.7325762289981332,0.644426362896664,0.6018440905280804,0.5845248107653491,0.644471084873646,0.05173733189016957,0.7010038795319591,0.7541943302211037,0.674165861438916,0.6467996024362483,0.6426142388804371,0.683755582501733,0.04101082368922804,0.7843137254901961,0.8297619047619047,0.7828571428571429,0.7564285714285715,0.7450980392156863,0.7796918767507004,0.02924483910110534
kNN_CharLevel_TF-IDF,0.0029282569885253906,0.0029561519622802734,0.0034880638122558594,0.0027618408203125,0.003770112991333008,0.0031808853149414063,0.0003824845940487216,0.12089180946350098,0.1206657886505127,0.12140274047851562,0.12047791481018066,0.12514376640319824,0.12171640396118164,0.001741424823704344,0.8900523560209425,0.9162303664921466,0.8947368421052632,0.8789473684210526,0.8842105263157894,0.8928354918710388,0.01285263506213357,0.8065826330532213,0.8618347338935575,0.8,0.77,0.7843137254901961,0.8045462184873949,0.0313355519144683,0.9411764705882353,0.926829268292683,1.0,1.0,1.0,0.9736011477761837,0.03264863426658595,0.6274509803921569,0.7450980392156863,0.6,0.54,0.5686274509803921,0.616235294117647,0.07081427859589136,0.7529411764705882,0.8260869565217392,0.7499999999999999,0.7012987012987013,0.725,0.7510653668582058,0.04192616589733071,32,38,30,27,29,31.2,3.762977544445356,138,137,140,140,139,138.8,1.1661903789690602,2,3,0,0,0,1.0,1.2649110640673518,19,13,20,23,22,19.4,3.49857113690718,0.6858306571629984,0.7717699775952204,0.6885245901639345,0.633696563285834,0.6585525240973698,0.6876748624610715,0.04655723121792701,0.7091487906700052,0.7797435621878113,0.7245688373094719,0.6810313362699216,0.7006616911925545,0.7190308435259529,0.03345368996166723,0.8065826330532213,0.8618347338935574,0.8,0.77,0.7843137254901961,0.8045462184873949,0.03133555191446826
RF_Count_Vectors,0.3714282512664795,0.37320709228515625,0.3679640293121338,0.36193108558654785,0.360522985458374,0.36701068878173826,0.005034119503612099,0.1141350269317627,0.11240911483764648,0.1141359806060791,0.11544013023376465,0.11425471305847168,0.11407499313354492,0.0009673027012566485,0.8900523560209425,0.9267015706806283,0.9315789473684211,0.8947368421052632,0.8736842105263158,0.9033507853403142,0.022240693375468544,0.7941176470588236,0.8689775910364146,0.87,0.8064285714285715,0.7833262801523487,0.8245700179352318,0.0373989858119003,1.0,0.9743589743589743,1.0,0.96875,0.9090909090909091,0.9704399766899767,0.03325511273592524,0.5882352941176471,0.7450980392156863,0.74,0.62,0.5882352941176471,0.6563137254901961,0.07137797867733096,0.7407407407407407,0.8444444444444443,0.8505747126436781,0.7560975609756097,0.7142857142857143,0.7812286346180375,0.05578048430267852,30,38,37,31,30,33.2,3.54400902933387,140,139,140,139,136,138.8,1.469693845669907,0,1,0,1,3,1.0,1.0954451150103321,21,13,13,19,21,17.4,3.6660605559646724,0.676818950930626,0.7976082349379352,0.8074824629773967,0.6930533117932149,0.6379228203906622,0.7225771562059671,0.06777964473924665,0.7151985398521516,0.809888057935745,0.8228755574244115,0.721115348812482,0.6628305965179676,0.7463816201085515,0.06078804585459198,0.7941176470588236,0.8689775910364146,0.87,0.8064285714285715,0.7833262801523487,0.8245700179352318,0.0373989858119003
SVM_Count_Vectors,0.0745537281036377,0.07438921928405762,0.0733799934387207,0.07448506355285645,0.07387423515319824,0.07413644790649414,0.0004473316199281064,0.02610301971435547,0.02565789222717285,0.024487018585205078,0.02402186393737793,0.024130821228027344,0.024880123138427735,0.0008429702473639145,0.9319371727748691,0.9109947643979057,0.9210526315789473,0.9,0.8789473684210526,0.9085863874345549,0.018213534505601398,0.8725490196078431,0.8333333333333333,0.8692857142857142,0.8164285714285715,0.786923402454507,0.8357040082219938,0.03237899290657879,1.0,1.0,0.926829268292683,0.9696969696969697,0.9375,0.9668052475979305,0.03055821228068507,0.7450980392156863,0.6666666666666666,0.76,0.64,0.5882352941176471,0.68,0.06455430850559789,0.8539325842696629,0.8,0.8351648351648352,0.7710843373493975,0.7228915662650602,0.7966146646097912,0.046625771627357246,38,34,38,32,30,34.4,3.2,140,140,137,139,137,138.6,1.3564659966250536,0,0,3,1,2,1.2,1.1661903789690602,13,17,12,18,21,16.2,3.3105890714493698,0.8107902156519089,0.7456724367509987,0.7839272175890826,0.7105052125100241,0.6505677274908044,0.7402925619985637,0.05628619281578618,0.8257051867897389,0.7710251812675252,0.7905993637873733,0.7356104837466246,0.6794929004298329,0.7604866232042189,0.04990010988125842,0.8725490196078431,0.8333333333333333,0.8692857142857142,0.8164285714285716,0.7869234024545071,0.8357040082219939,0.03237899290657874
SVM_CharLevel_TF-IDF,0.57417893409729,0.5922670364379883,0.5059823989868164,0.48435115814208984,0.47869086265563965,0.5270940780639648,0.04707447212592024,0.11203598976135254,0.11242294311523438,0.11381769180297852,0.11068582534790039,0.1161658763885498,0.11302566528320312,0.0018604200798378208,0.9214659685863874,0.9162303664921466,0.9,0.9052631578947369,0.8894736842105263,0.9064866354367596,0.0114222113664448,0.8529411764705883,0.8556022408963586,0.822857142857143,0.8264285714285715,0.8003244463252928,0.8316307155955908,0.02055670278087343,1.0,0.9487179487179487,0.9428571428571428,0.9705882352941176,0.96875,0.9661826653738419,0.02009332577335235,0.7058823529411765,0.7254901960784313,0.66,0.66,0.6078431372549019,0.671843137254902,0.041019982752382625,0.8275862068965517,0.8222222222222223,0.7764705882352942,0.7857142857142857,0.7469879518072288,0.7917962509751166,0.02995433386124833,36,37,33,33,31,34.0,2.1908902300206643,140,138,138,139,138,138.6,0.8,0,2,2,1,1,1.2,0.7483314773547883,15,14,17,17,20,16.6,2.0591260281974,0.7786790266512167,0.7686951256433545,0.7146245059288537,0.7277070063694268,0.680953142491604,0.7341317614168912,0.03585766582309816,0.7984805304421995,0.780529807970718,0.733482140227638,0.750007182325733,0.7112292945010394,0.7547457910934656,0.03145099581604438,0.8529411764705883,0.8556022408963586,0.822857142857143,0.8264285714285715,0.8003244463252928,0.8316307155955908,0.02055670278087343
kNN_N-Gram_TF-IDF,0.0009009838104248047,0.0008728504180908203,0.0009191036224365234,0.0010938644409179688,0.0009038448333740234,0.0009381294250488282,7.928676433596221e-05,0.11730289459228516,0.11734294891357422,0.11810588836669922,0.1179509162902832,0.11803078651428223,0.11774668693542481,0.00034968668903452224,0.774869109947644,0.7696335078534031,0.7789473684210526,0.7736842105263158,0.8,0.779426839349683,0.010706492015747844,0.5846638655462185,0.5686274509803921,0.58,0.5764285714285714,0.6274509803921569,0.5874341736694678,0.020683822009073753,0.9,1.0,1.0,0.8888888888888888,1.0,0.9577777777777777,0.05183068350973601,0.17647058823529413,0.13725490196078433,0.16,0.16,0.2549019607843137,0.17772549019607845,0.040556224944837245,0.2950819672131148,0.24137931034482762,0.2758620689655173,0.27118644067796616,0.40625,0.29795195744028524,0.05681817196274217,9,7,8,8,13,9.0,2.0976176963403033,139,140,140,139,139,139.4,0.4898979485566356,1,0,0,1,0,0.4,0.48989794855663565,42,44,42,42,38,41.6,1.9595917942265426,0.2274480293481328,0.18911617136240844,0.2191780821917807,0.20756547041707074,0.3335794720324904,0.23537744507037664,0.05075932322250957,0.3363085492091096,0.32316107064257854,0.3508232077228117,0.3168649595858579,0.44741171871069585,0.35491390117421073,0.04769633811192625,0.5846638655462185,0.5686274509803921,0.58,0.5764285714285714,0.6274509803921569,0.5874341736694678,0.020683822009073753
kNN_Words,0.010512113571166992,0.009989738464355469,0.010288238525390625,0.008454084396362305,0.00966787338256836,0.00978240966796875,0.0007223409772422289,0.11356711387634277,0.11429929733276367,0.11761879920959473,0.11958885192871094,0.12492203712463379,0.11799921989440917,0.004097073077760798,0.8167539267015707,0.7905759162303665,0.7842105263157895,0.7894736842105263,0.8105263157894737,0.7983080738495454,0.012853859122843472,0.6568627450980392,0.6203081232492997,0.5964285714285714,0.6064285714285714,0.653265622795881,0.6266587268000725,0.02442810382111118,1.0,0.8666666666666667,0.9090909090909091,0.9166666666666666,0.9411764705882353,0.9267201426024956,0.04381142577822224,0.3137254901960784,0.2549019607843137,0.2,0.22,0.3137254901960784,0.2604705882352941,0.04689933758812916,0.47761194029850745,0.3939393939393939,0.32786885245901637,0.3548387096774193,0.47058823529411764,0.40496942633369093,0.06026941476969611,16,13,10,11,16,13.2,2.481934729198171,140,138,139,139,138,138.8,0.7483314773547883,0,2,1,1,1,1.0,0.6324555320336759,35,38,40,39,35,37.4,2.0591260281974,0.4012539184952978,0.31022029613578916,0.2573879885605339,0.28166351606805295,0.38852136599320586,0.3278094170505759,0.057407376667982596,0.5009794328681196,0.3957055031956415,0.36363182903651636,0.38533337313775273,0.4759044063342381,0.42431090891445367,0.05396187507423014,0.6568627450980392,0.6203081232492997,0.5964285714285714,0.6064285714285714,0.653265622795881,0.6266587268000725,0.02442810382111118
RF_CharLevel_TF-IDF,0.35071301460266113,0.35046887397766113,0.3527810573577881,0.3468790054321289,0.3516206741333008,0.350492525100708,0.0019807473096150846,0.11356115341186523,0.11337709426879883,0.11412692070007324,0.11035704612731934,0.1154639720916748,0.11337723731994628,0.0016776094400861735,0.93717277486911,0.9109947643979057,0.8842105263157894,0.8894736842105263,0.8842105263157894,0.9012124552218241,0.02051715418794149,0.8823529411764706,0.8582633053221289,0.8121428571428572,0.8028571428571429,0.8029341232896037,0.8317100739576407,0.03259815037653576,1.0,0.9047619047619048,0.868421052631579,0.9393939393939394,0.9142857142857143,0.9253725222146276,0.04371966452256138,0.7647058823529411,0.7450980392156863,0.66,0.62,0.6274509803921569,0.6834509803921569,0.06019085370440855,0.8666666666666666,0.8172043010752689,0.7500000000000001,0.7469879518072288,0.7441860465116279,0.7850089932121584,0.049075973051916605,39,38,33,31,32,34.6,3.261901286060018,140,136,135,138,136,137.0,1.7888543819998317,0,4,5,2,3,2.8,1.7204650534085255,12,13,17,19,19,16.0,2.9664793948382653,0.8265213442325159,0.7591067586616218,0.6764705882352942,0.6800320769847634,0.6726703210649961,0.7229602178358382,0.06093383947982622,0.839246307900772,0.7653562807648706,0.6872564503672763,0.7040605984392073,0.6925813757518209,0.7377002026447894,0.05794544642124024,0.8823529411764706,0.8582633053221288,0.8121428571428573,0.8028571428571429,0.8029341232896037,0.8317100739576407,0.032598150376535726
RF_N-Gram_TF-IDF,0.9542081356048584,0.9943768978118896,0.995521068572998,0.978295087814331,0.958489179611206,0.9761780738830567,0.01735168898096969,0.1090707778930664,0.11070680618286133,0.11197090148925781,0.11221694946289062,0.11279487609863281,0.1113520622253418,0.0013291589375422875,0.837696335078534,0.8167539267015707,0.8368421052631579,0.8157894736842105,0.8157894736842105,0.8245742628823367,0.010374887333307445,0.7147759103641457,0.669327731092437,0.69,0.6628571428571429,0.6754831428974468,0.6824887854422345,0.018474688357362504,0.8846153846153846,0.9,1.0,0.8947368421052632,0.8636363636363636,0.9085977180714023,0.0473647495316246,0.45098039215686275,0.35294117647058826,0.38,0.34,0.37254901960784315,0.3792941176470589,0.03853160199332804,0.5974025974025974,0.5070422535211269,0.5507246376811594,0.4927536231884058,0.5205479452054794,0.5336942113997538,0.03717008690632751,23,18,19,17,19,19.2,2.0396078054371136,137,138,140,138,136,137.8,1.32664991614216,3,2,0,2,3,2.0,1.0954451150103321,28,33,31,33,32,31.4,1.8547236990991407,0.508834508502696,0.4197552295807655,0.47457627118644063,0.4067796610169492,0.42800619301565457,0.44759037266050117,0.038217619920119676,0.5541610838018032,0.48932131885766417,0.557773351022717,0.47809144373375745,0.48606226526966,0.5130818925371203,0.03522437520592896,0.7147759103641456,0.669327731092437,0.69,0.6628571428571429,0.6754831428974468,0.6824887854422345,0.018474688357362462
LR_Count_Vectors,0.040548086166381836,0.04072403907775879,0.039051055908203125,0.04057502746582031,0.03705596923828125,0.03959083557128906,0.0014061310027902384,0.00785684585571289,0.00742793083190918,0.008620977401733398,0.008062124252319336,0.008307218551635742,0.008055019378662109,0.00040409805162208766,0.9528795811518325,0.9162303664921466,0.9315789473684211,0.9210526315789473,0.9052631578947369,0.9254009368972168,0.016135556806642855,0.9179971988795519,0.8742997198879552,0.9085714285714286,0.8821428571428571,0.8483566088305825,0.8862735626624751,0.024906685631354872,0.9772727272727273,0.8888888888888888,0.8775510204081632,0.8888888888888888,0.9024390243902439,0.9070081099697825,0.03600645902712539,0.8431372549019608,0.7843137254901961,0.86,0.8,0.7254901960784313,0.8025882352941176,0.047381637876324385,0.9052631578947369,0.8333333333333334,0.8686868686868686,0.8421052631578948,0.8043478260869564,0.850747289831958,0.03413106825730714,43,40,43,40,37,40.6,2.244994432064365,139,135,134,135,135,135.6,1.743559577416269,1,5,6,5,4,4.2,1.7204650534085255,8,11,7,10,14,10.0,2.449489742783178,0.8741304825364282,0.7776807798632329,0.822429906542056,0.7896678966789668,0.7428184689426982,0.8013455069126764,0.04441622371367449,0.8783497204002304,0.7803975887910625,0.8225066396196637,0.7916158915529476,0.7505186270383913,0.804677693480459,0.04344830837236378,0.9179971988795519,0.8742997198879551,0.9085714285714286,0.8821428571428571,0.8483566088305826,0.8862735626624749,0.024906685631354848
DT_Words,0.019854068756103516,0.01977705955505371,0.018725156784057617,0.017605304718017578,0.01873016357421875,0.018938350677490234,0.0008255637125061749,0.007850885391235352,0.0073850154876708984,0.0073070526123046875,0.007563591003417969,0.007375001907348633,0.007496309280395508,0.0001965558048507249,0.9581151832460733,0.9162303664921466,0.968421052631579,0.9473684210526315,0.9368421052631579,0.9453954257371177,0.01799791325336102,0.9464985994397759,0.8867647058823529,0.9528571428571428,0.9385714285714286,0.9382141345746932,0.9325812022650787,0.023543881538121512,0.9215686274509803,0.8571428571428571,0.9583333333333334,0.8846153846153846,0.8421052631578947,0.89275309314009,0.042498510117750334,0.9215686274509803,0.8235294117647058,0.92,0.92,0.9411764705882353,0.9052549019607843,0.04164225813326561,0.9215686274509803,0.84,0.9387755102040817,0.9019607843137256,0.8888888888888888,0.8982387621715354,0.033706193951594014,47,42,46,46,48,45.8,2.0396078054371136,136,133,138,134,130,134.2,2.7129319932501073,4,7,2,6,9,5.6,2.4166091947189146,4,9,4,4,3,4.8,2.1354156504062622,0.8929971988795519,0.7832931499078145,0.9175108538350217,0.8660084626234132,0.8449612403100775,0.8609541811111757,0.045908534940550035,0.8929971988795519,0.7835806902105089,0.9178578931432498,0.8663195918898776,0.8475115335666202,0.8616533815379617,0.045735090520379475,0.9464985994397758,0.8867647058823529,0.9528571428571428,0.9385714285714285,0.9382141345746932,0.9325812022650787,0.023543881538121494
NB_Count_Vectors,0.0033178329467773438,0.002978086471557617,0.004064083099365234,0.0028619766235351562,0.0028717517852783203,0.0032187461853027343,0.00045387650660686353,0.011364936828613281,0.01279902458190918,0.010061025619506836,0.010815143585205078,0.014316082000732422,0.011871242523193359,0.0015156909500940524,0.9319371727748691,0.9057591623036649,0.8947368421052632,0.9210526315789473,0.8947368421052632,0.9096445301736015,0.01474232751225528,0.8974789915966386,0.8796218487394958,0.8514285714285714,0.8885714285714286,0.8225419664268585,0.8679285613525985,0.02745280142710722,0.9130434782608695,0.8235294117647058,0.8260869565217391,0.8723404255319149,0.918918918918919,0.8707838381996297,0.040831551984959004,0.8235294117647058,0.8235294117647058,0.76,0.82,0.6666666666666666,0.7787450980392157,0.061034727699812295,0.865979381443299,0.8235294117647058,0.7916666666666667,0.8453608247422681,0.7727272727272727,0.8198527114688424,0.034079647148829606,42,42,38,41,34,39.4,3.0724582991474434,136,131,132,134,136,133.8,2.039607805437114,4,9,8,6,3,6.0,2.280350850198276,9,9,12,9,17,11.2,3.1240998703626617,0.8205276472714131,0.7592436974789916,0.7214076246334311,0.7924253459577567,0.7064730418662135,0.7600154714415612,0.04259125878595012,0.8224895029114697,0.7592436974789916,0.7225300612714974,0.7931090982885011,0.7218752230480003,0.7638495165996921,0.039459152025365235,0.8974789915966386,0.8796218487394958,0.8514285714285714,0.8885714285714286,0.8225419664268584,0.8679285613525985,0.027452801427107255
DT_Count_Vectors,0.018219947814941406,0.016885042190551758,0.015459775924682617,0.01753687858581543,0.019036054611206055,0.017427539825439452,0.0012160249714012752,0.007918834686279297,0.00816202163696289,0.008049249649047852,0.007344245910644531,0.007354021072387695,0.007765674591064453,0.0003487189588159377,0.9581151832460733,0.9109947643979057,0.9052631578947369,0.9368421052631579,0.8894736842105263,0.9201377790024801,0.024357559514338732,0.940266106442577,0.8831932773109243,0.8714285714285714,0.925,0.8251516433911694,0.8890079197146484,0.040849232864888126,0.9387755102040817,0.84,0.8333333333333334,0.8653846153846154,0.875,0.870498691784406,0.03746884987811861,0.9019607843137255,0.8235294117647058,0.8,0.9,0.6862745098039216,0.8223529411764705,0.07922733364187853,0.92,0.8316831683168315,0.816326530612245,0.8823529411764707,0.7692307692307692,0.8439186818672632,0.05244974385863343,46,42,40,45,35,41.6,3.9293765408777004,137,132,132,133,134,133.6,1.8547236990991405,3,8,8,7,5,6.2,1.9390719429665317,5,9,10,5,16,9.0,4.049691346263317,0.8916465749539072,0.7711930096540061,0.7525325615050651,0.8392101551480959,0.6979560938682816,0.7905076790258712,0.06779670990368784,0.891973890884206,0.7712628703378697,0.7528171994234857,0.8395116566359563,0.7068590326303379,0.7924849299823711,0.06552139394375839,0.9402661064425769,0.8831932773109243,0.8714285714285714,0.9249999999999999,0.8251516433911694,0.8890079197146484,0.04084923286488808
DT_WordLevel_TF-IDF,0.02113938331604004,0.01913595199584961,0.01885390281677246,0.023607969284057617,0.02701282501220703,0.02195000648498535,0.003050994677047599,0.010428905487060547,0.008594036102294922,0.010210990905761719,0.008286237716674805,0.0077970027923583984,0.009063434600830079,0.001059208731724579,0.93717277486911,0.9057591623036649,0.8947368421052632,0.9210526315789473,0.8789473684210526,0.9075337558556077,0.020225346371682718,0.9135154061624651,0.8609243697478992,0.845,0.9078571428571429,0.8117505995203838,0.8678095036575781,0.03847888300969034,0.8979591836734694,0.8666666666666667,0.8409090909090909,0.8301886792452831,0.85,0.857144724098902,0.023654846109419723,0.8627450980392157,0.7647058823529411,0.74,0.88,0.6666666666666666,0.7828235294117646,0.07935394651417213,0.8799999999999999,0.8125,0.7872340425531915,0.8543689320388349,0.7472527472527473,0.8162711443689548,0.04718839352549075,44,39,37,44,34,39.6,3.9293765408777004,135,134,133,131,133,133.2,1.32664991614216,5,6,7,9,6,6.6,1.3564659966250536,7,12,13,6,17,11.0,4.049691346263317,0.8374698624308609,0.749890877346137,0.7176820208023774,0.8002803083391731,0.6691900075700228,0.7549026152977143,0.059386238507374185,0.8377772905473575,0.7525106029240667,0.720270030310084,0.8009195042297889,0.6777260139319075,0.7578406883886409,0.056752039543580025,0.9135154061624651,0.8609243697478992,0.845,0.9078571428571428,0.8117505995203836,0.8678095036575781,0.03847888300969035
DT_N-Gram_TF-IDF,0.1468949317932129,0.15104913711547852,0.14821791648864746,0.14000606536865234,0.13784408569335938,0.14480242729187012,0.0050296944372768115,0.007479190826416016,0.007027864456176758,0.006538867950439453,0.0074748992919921875,0.007230043411254883,0.007150173187255859,0.00034892188836894376,0.8324607329842932,0.8324607329842932,0.8368421052631579,0.8157894736842105,0.8,0.8235106089831911,0.013786246025649238,0.717436974789916,0.7299019607843137,0.735,0.6821428571428572,0.6957257723233179,0.7120415130080809,0.020175885329791147,0.8275862068965517,0.7878787878787878,0.7878787878787878,0.8,0.6857142857142857,0.7778116136736827,0.04827928837189003,0.47058823529411764,0.5098039215686274,0.52,0.4,0.47058823529411764,0.47419607843137257,0.042182955901057445,0.6,0.6190476190476191,0.6265060240963856,0.5333333333333333,0.558139534883721,0.5874053022722119,0.035969409321547886,24,26,26,20,24,24.0,2.1908902300206643,135,133,133,135,128,132.8,2.5612496949731396,5,7,7,5,11,7.0,2.1908902300206643,27,25,24,30,27,26.6,2.0591260281974,0.5039766271709138,0.5179050323394858,0.5276663993584603,0.4340425531914893,0.4346123727486296,0.48364059696179573,0.04096244535773209,0.5361125728932841,0.5380668836948398,0.5463111719021208,0.4745469473032201,0.44747690749972124,0.5085028966586371,0.039857162662682265,0.717436974789916,0.7299019607843136,0.735,0.682142857142857,0.6957257723233179,0.7120415130080808,0.02017588532979116
SVM_Words,0.1575171947479248,0.15846824645996094,0.15801000595092773,0.15763306617736816,0.15289998054504395,0.1569056987762451,0.002030261993306066,0.031835079193115234,0.03192281723022461,0.031384944915771484,0.031751155853271484,0.03116893768310547,0.031612586975097653,0.00028760825222246277,0.7853403141361257,0.8167539267015707,0.8263157894736842,0.8157894736842105,0.8,0.8088399007991182,0.014468652139750049,0.6416666666666666,0.6880252100840336,0.7021428571428572,0.7014285714285714,0.6771053745239103,0.6820737359692078,0.022227078933375784,0.7083333333333334,0.8076923076923077,0.8148148148148148,0.7419354838709677,0.7241379310344828,0.7593827741491812,0.043724534246469944,0.3333333333333333,0.4117647058823529,0.44,0.46,0.4117647058823529,0.4113725490196078,0.04306875131095414,0.4533333333333333,0.5454545454545454,0.5714285714285714,0.5679012345679013,0.525,0.5326235369568703,0.043034953548359706,17,21,22,23,21,20.8,2.0396078054371136,133,135,135,132,131,133.2,1.6,7,5,5,8,8,6.6,1.3564659966250536,34,30,28,27,30,29.8,2.4,0.3406584154247706,0.44545831605143094,0.4744341994970662,0.45890968266883647,0.41022708707727495,0.4259375401438758,0.04762246589909696,0.3781663836275264,0.4851393902862216,0.5098726671015551,0.480087810418622,0.4364578284754414,0.45794481598187325,0.04637380229644126,0.6416666666666666,0.6880252100840335,0.7021428571428572,0.7014285714285714,0.6771053745239102,0.6820737359692078,0.022227078933375784
DT_CharLevel_TF-IDF,0.06969690322875977,0.07342720031738281,0.06364297866821289,0.08532023429870605,0.0691378116607666,0.07224502563476562,0.007245709586738719,0.006272792816162109,0.005998849868774414,0.006459951400756836,0.00551605224609375,0.006082057952880859,0.006065940856933594,0.00031785861243196925,0.9057591623036649,0.8743455497382199,0.8315789473684211,0.8631578947368421,0.8473684210526315,0.8644419950399559,0.02521239556610788,0.8796218487394958,0.8270308123249299,0.7957142857142857,0.8621428571428571,0.8087882635068415,0.8346596134856821,0.03168973080680359,0.8235294117647058,0.7872340425531915,0.6666666666666666,0.6935483870967742,0.7115384615384616,0.73650339392396,0.05914841574565802,0.8235294117647058,0.7254901960784313,0.72,0.86,0.7254901960784313,0.7709019607843136,0.059031475583566785,0.8235294117647058,0.7551020408163265,0.6923076923076923,0.7678571428571428,0.7184466019417477,0.751448577937523,0.044866491219297644,42,37,36,43,37,39.0,2.898275349237888,131,130,122,121,124,125.6,4.127953488110059,9,10,18,19,15,14.2,4.069397989875161,9,14,14,7,14,11.6,3.006659275674582,0.7592436974789916,0.6707842573972996,0.5766016713091922,0.6724137931034483,0.6137669984578719,0.6585620835493607,0.0619711991130515,0.7592436974789916,0.6717962877489583,0.5774109120414489,0.6802336465804173,0.6138214404590855,0.6605011968617803,0.06220936451616724,0.8796218487394958,0.82703081232493,0.7957142857142857,0.8621428571428571,0.8087882635068416,0.8346596134856821,0.03168973080680357
